document_id,authority,original_filename,original_stem,original_extension,original_relative_path
ROT_015,ROT,ROT_1569e_delfshaven_Vergunning.md,ROT_1569e_delfshaven_Vergunning,.md,full_text\ROT_1569e_delfshaven_Vergunning.md
ROT_016,ROT,ROT_1619e_feijenoord_Vergunning.md,ROT_1619e_feijenoord_Vergunning,.md,full_text\ROT_1619e_feijenoord_Vergunning.md
ROT_017,ROT,ROT_1665e_feijenoord_Vergunning.md,ROT_1665e_feijenoord_Vergunning,.md,full_text\ROT_1665e_feijenoord_Vergunning.md
ROT_018,ROT,ROT_1778e_feijenoord_Vergunning.md,ROT_1778e_feijenoord_Vergunning,.md,full_text\ROT_1778e_feijenoord_Vergunning.md
ROT_019,ROT,ROT_179e_rotterdam-centrum_Vergunning.md,ROT_179e_rotterdam-centrum_Vergunning,.md,full_text\ROT_179e_rotterdam-centrum_Vergunning.md
ROT_020,ROT,ROT_1828e_feijenoord_Vergunning.md,ROT_1828e_feijenoord_Vergunning,.md,full_text\ROT_1828e_feijenoord_Vergunning.md
ROT_021,ROT,ROT_1847e_feijenoord_Vergunning.md,ROT_1847e_feijenoord_Vergunning,.md,full_text\ROT_1847e_feijenoord_Vergunning.md
ROT_022,ROT,ROT_184e_rotterdam-centrum_Vergunning.md,ROT_184e_rotterdam-centrum_Vergunning,.md,full_text\ROT_184e_rotterdam-centrum_Vergunning.md
ROT_023,ROT,ROT_1943e_feijenoord_Vergunning.md,ROT_1943e_feijenoord_Vergunning,.md,full_text\ROT_1943e_feijenoord_Vergunning.md
ROT_024,ROT,ROT_1962e_feijenoord_Vergunning.md,ROT_1962e_feijenoord_Vergunning,.md,full_text\ROT_1962e_feijenoord_Vergunning.md
ROT_025,ROT,ROT_1976e_feijenoord_Vergunning.md,ROT_1976e_feijenoord_Vergunning,.md,full_text\ROT_1976e_feijenoord_Vergunning.md
ROT_026,ROT,ROT_1994e_feijenoord_Vergunning.md,ROT_1994e_feijenoord_Vergunning,.md,full_text\ROT_1994e_feijenoord_Vergunning.md
ROT_027,ROT,ROT_2001e_feijenoord_Vergunning.md,ROT_2001e_feijenoord_Vergunning,.md,full_text\ROT_2001e_feijenoord_Vergunning.md
ROT_028,ROT,ROT_2026e_hillegersberg-schiebroek_Vergunning.md,ROT_2026e_hillegersberg-schiebroek_Vergunning,.md,full_text\ROT_2026e_hillegersberg-schiebroek_Vergunning.md
ROT_029,ROT,ROT_208e_rotterdam-centrum_Vergunning.md,ROT_208e_rotterdam-centrum_Vergunning,.md,full_text\ROT_208e_rotterdam-centrum_Vergunning.md
ROT_030,ROT,ROT_2123e_hillegersberg-schiebroek_Vergunning.md,ROT_2123e_hillegersberg-schiebroek_Vergunning,.md,full_text\ROT_2123e_hillegersberg-schiebroek_Vergunning.md
ROT_031,ROT,ROT_2128e_hillegersberg-schiebroek_Vergunning.md,ROT_2128e_hillegersberg-schiebroek_Vergunning,.md,full_text\ROT_2128e_hillegersberg-schiebroek_Vergunning.md
ROT_032,ROT,ROT_2149e_hillegersberg-schiebroek_Vergunning.md,ROT_2149e_hillegersberg-schiebroek_Vergunning,.md,full_text\ROT_2149e_hillegersberg-schiebroek_Vergunning.md
ROT_033,ROT,ROT_2178e_hoek-van-holland_Vergunning.md,ROT_2178e_hoek-van-holland_Vergunning,.md,full_text\ROT_2178e_hoek-van-holland_Vergunning.md
ROT_034,ROT,ROT_2187e_hoek-van-holland_Vergunning.md,ROT_2187e_hoek-van-holland_Vergunning,.md,full_text\ROT_2187e_hoek-van-holland_Vergunning.md
ROT_035,ROT,ROT_2212e_hoek-van-holland_Vergunning.md,ROT_2212e_hoek-van-holland_Vergunning,.md,full_text\ROT_2212e_hoek-van-holland_Vergunning.md
ROT_036,ROT,ROT_2228e_hoek-van-holland_Vergunning.md,ROT_2228e_hoek-van-holland_Vergunning,.md,full_text\ROT_2228e_hoek-van-holland_Vergunning.md
ROT_037,ROT,ROT_2229e_hoek-van-holland_Vergunning.md,ROT_2229e_hoek-van-holland_Vergunning,.md,full_text\ROT_2229e_hoek-van-holland_Vergunning.md
ROT_038,ROT,ROT_2233e_hoek-van-holland_Vergunning.md,ROT_2233e_hoek-van-holland_Vergunning,.md,full_text\ROT_2233e_hoek-van-holland_Vergunning.md
